Collector	Date	Well	Strain	Media	Hours	Experiment	Drop	Notes
Sam Coradetti	20161201	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B03	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B04	APA 9122	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B05	APA 9146	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B06	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B07	APA 9150	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	B08	APA 9152	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C03	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C04	APA 9122	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C05	APA 9146	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C06	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C07	APA 9150	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	C08	APA 9152	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A02	APA 9154	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A03	APA 9156	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A04	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A05	APA 9163	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A06	APA 9167	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A07	APA 9173	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	A08	APA 9174	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B02	APA 9154	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B03	APA 9156	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B04	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B05	APA 9163	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B06	APA 9167	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B07	APA 9173	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	B08	APA 9174	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C02	APA 9154	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C03	APA 9156	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C04	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C05	APA 9163	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C06	APA 9167	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C07	APA 9173	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161204	C08	APA 9174	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	A02	APA 4819	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	A03	APA 4823	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	A04	APA 4825	Nicaud CN120	40	Lipid Accumulation	TRUE	Contamination
Sam Coradetti	20170113	A05	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	A06	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	B02	APA 4819	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	B03	APA 4823	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	B04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	B05	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	B06	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	C02	APA 4819	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	C03	APA 4823	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	C04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	C05	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170113	C06	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	A02	APA 4819	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	A03	APA 4823	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	A04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	A05	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	A06	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	B02	APA 4819	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	B03	APA 4823	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	B04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	B05	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	B06	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	C02	APA 4819	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	C03	APA 4823	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	C04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	C05	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170120	C06	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A03	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A04	APA 9122	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A05	APA 9176	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A06	APA 9177	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A07	APA 4829	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A08	APA 4830	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A09	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	A10	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B03	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B04	APA 9122	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B05	APA 9176	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B06	APA 9177	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B07	APA 4829	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B08	APA 4830	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B09	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	B10	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C03	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C04	APA 9122	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C05	APA 9176	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C06	APA 9177	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C07	APA 4829	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C08	APA 4830	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C09	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170127	C10	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A02	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A03	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A04	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A05	APA 9174	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A06	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A07	APA 4829	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A08	APA 4830	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A09	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	A10	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B02	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B03	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B04	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B05	APA 9174	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B06	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B07	APA 4829	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B08	APA 4830	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B09	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	B10	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C02	APA 9148	Nicaud CN120	40	Lipid Accumulation	TRUE	Contamination
Sam Coradetti	20170217	C03	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C04	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C05	APA 9174	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C06	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C07	APA 4829	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C08	APA 4830	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170217	C09	APA 4832	Nicaud CN120	40	Lipid Accumulation	TRUE	Contamination
Sam Coradetti	20170217	C10	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A02	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A03	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A05	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A06	APA 4846	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A07	APA 9154	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A08	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A09	APA 9163	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	A10	APA 9167	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B02	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B03	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B05	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B06	APA 4846	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B07	APA 9154	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B08	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B09	APA 9163	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	B10	APA 9167	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C02	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C03	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C04	APA 4825	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C05	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C06	APA 4846	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C07	APA 9154	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C08	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C09	APA 9163	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170325	C10	APA 9167	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A02	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A03	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A04	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A05	APA 4846	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A06	APA 4848	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A07	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	A08	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B02	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B03	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B04	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B05	APA 4846	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B06	APA 4848	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B07	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	B08	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C02	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C03	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C04	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C05	APA 4846	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C06	APA 4848	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C07	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170331	C08	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A03	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A04	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A05	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A06	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A07	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A08	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	A09	APA 4822	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B03	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B04	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B05	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B06	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B07	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B08	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	B09	APA 4822	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C03	APA 4834	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C04	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C05	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C06	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C07	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C08	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170512	C09	APA 4822	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A02	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A03	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A04	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A05	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A06	APA 4848	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A07	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	A08	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B02	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B03	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B04	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B05	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B06	APA 4848	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B07	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	B08	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C02	APA 4826	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C03	APA 4828	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C04	APA 4832	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C05	APA 4844	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C06	APA 4848	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C07	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170721	C08	APA 9160	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A02	APA 4883	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A03	APA 4884	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A04	APA 4885	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A05	APA 4886	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A06	APA 4887	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A07	APA 4836	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A08	APA 4837	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A09	APA 4839	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	A10	APA 4841	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20170907	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
