Color	LineStyle	Symbol	FaceColor	ColorOrder	Xlabel	RTO3 ID	RTO4 ID	ColorLabel	Date/Time	Xvalue	Data		
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/13/17 15:45	22.25	0.44	0.5	0.53
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/14/17 10:15	40.75	0.91	1.25	1.54
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/14/17 16:05	46.58333333	1.25	1.86	2.16
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/15/17 14:17	68.78333333	3.62	5.14	5.82
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/16/17 9:00	87.5	7.62	8.8	8.6
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	42902.66667	94.5	8.92	10.16	9.96
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/18/17 20:00	146.5	9.12	8.9	8.08
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/20/17 19:00	0	0.1	0.1	0.1
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/20/17 21:30	2.5	0.086	0.096	0.1
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/21/17 10:10	15.16666667	0.1	0.13	0.12
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/21/17 15:00	20	0.16	0.15	0.15
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/22/17 10:30	39.5	0.79	0.91	0.84
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/22/17 17:25	46.41666667	0.99	1.11	1.05
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/23/17 12:25	65.41666667	1.43	1.54	1.52
C2	:	o	none	4	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Ricinoleic Acid	6/24/17 18:45	95.75	1.79	1.77	1.79
